SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BRED,YEARFOAL
2023,Y,23FTJULYYR,2023-07-11,1,1,1,1,,,,,2022-04-06,1,CH,F,,Y,,,KY,CARACARO,CARACARO,MADAME MOON,MADAME MOON,MALIBU MOON,MALIBU MOON,,,,,,,,EATON SALES AGENT,,,,NOT SOLD,,,,25000,USD,,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,2,2,,,,,2022-03-27,1,B,C,,Y,,,KY,VEKOMA,VEKOMA,MAMA JOYCE,MAMA JOYCE,FIRST DUDE,FIRST DUDE,,,,,,,,BLUEWATER SALES LLC AGENT I,,,,OUT,,,,0,USD,,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,3,3,,,,,2022-02-02,1,CH,C,,Y,,,KY,CARACARO,CARACARO,MARKET BUZZ,MARKET BUZZ,AFTER MARKET,AFTER MARKET,,,,,,,,MULHOLLAND SPRINGS AGENT II,,,,R T RACING STABLE,,,,30000,USD,https://vimeo.com/841830371?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,4,4,,,,,2022-02-08,1,CH,C,,Y,,,KY,GIFT BOX,GIFT BOX,MERCI BEAUCOUP,MERCI BEAUCOUP,GIANT'S CAUSEWAY,GIANT'S CAUSEWAY,,,,,,,,ST GEORGE SALES AGENT II,,,,SJB STABLE TRUST,,,,43000,USD,https://vimeo.com/843624672?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,5,5,,,,,2022-02-03,1,CH,C,,Y,,,KY,MAXIMUM SECURITY,MAXIMUM SECURITY,MISS DEL GALLO,MISS DEL GALLO,HENNESSY,HENNESSY,,,,,,,,SHELTOWEE SALES AGENT,,,,NOT SOLD,,,,28000,USD,https://vimeo.com/842789900?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,6,6,,,,,2022-05-06,1,B,F,,Y,,,KY,HONOR A. P.,HONOR A. P.,MISS DRAKE,MISS DRAKE,AFLEET ALEX,AFLEET ALEX,,,,,,,,BRIDIE HARRISON AGENT FOR PETER E. BLUM THOROUGHBREDS,,,,AL PIKE AGENT,,,,50000,USD,https://vimeo.com/841328394,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,7,7,,,,,2022-03-04,1,B,C,,Y,,,LA,VEKOMA,VEKOMA,MISS JAZEBEL,MISS JAZEBEL,TALE OF THE CAT,TALE OF THE CAT,,,,,,,,TAYLOR MADE SALES AGENCY AGENT XLVIII,,,,MANSFIELD RACING,,,,50000,USD,https://youtu.be/hMCAXWweFio,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,8,8,,,,,2022-02-09,1,CH,F,,Y,,,KY,ECHO TOWN,ECHO TOWN,MISS MALICE,MISS MALICE,PALACE MALICE,PALACE MALICE,,,,,,,,CANDY MEADOWS SALES AGENT XXVIII,,,,BLUE CORNER,,,,35000,USD,https://vimeo.com/840061213?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,9,9,,,,,2022-02-17,1,CH,F,,Y,,,KY,COMPLEXITY,COMPLEXITY,MOON AND STARS,MOON AND STARS,ORB,ORB,,,,,,,,SHAWHAN PLACE AGENT FOR GLENDALOUGH LLC,,,,LEGION BLOODSTOCKAGENT,,,,65000,USD,https://vimeo.com/841847992?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,10,10,,,,,2022-01-30,1,CH,C,,Y,,,KY,INSTAGRAND,INSTAGRAND,MY GIRL,MY GIRL,SCAT DADDY,SCAT DADDY,,,,,,,,TAYLOR MADE SALES AGENCY AGENT LXXVIII,,,,NOT SOLD,,,,37000,USD,https://youtu.be/ftQ1M_WVDeQ,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,11,11,,,,,2022-03-25,1,CH,F,,Y,,,FL,GAME WINNER,GAME WINNER,MY SISTER CARO,MY SISTER CARO,BOP,BOP,,,,,,,,STUART MORRIS AGENT I,,,,THE ELKSTONE GROUP LLC,,,,32000,USD,https://vimeo.com/843440575?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,12,12,,,,,2022-01-13,1,CH,C,,Y,,,KY,ECHO TOWN,ECHO TOWN,MY TEMPO,MY TEMPO,DECLARATION OF WAR,DECLARATION OF WAR,,,,,,,,BLUEWATER SALES LLC AGENT V,,,,ENGLISH RANGE FARM,,,,35000,USD,https://vimeo.com/842298995?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,13,13,,,,,2022-03-26,1,CH,F,,Y,,,ON,GAME WINNER,GAME WINNER,NEVER FORGET HER,NEVER FORGET HER,NO NAY NEVER,NO NAY NEVER,,,,,,,,SUMMERFIELD (FRANCIS & BARBARA VANLANGENDONCK) AGENT,,,,NOT SOLD,,,,42000,USD,https://vimeo.com/843405501?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,14,14,,,,,2022-02-19,1,B,F,,Y,,,KY,ECHO TOWN,ECHO TOWN,NIGHT MARKET,NIGHT MARKET,MIDNIGHT LUTE,MIDNIGHT LUTE,,,,,,,,FOUR STAR SALES AGENT,,,,TONY MILLS,,,,120000,USD,https://vimeo.com/842031680?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,15,15,,,,,2022-03-18,1,CH,F,,Y,,,KY,IMPROBABLE,IMPROBABLE,NIKKI AND PAPA,NIKKI AND PAPA,MINESHAFT,MINESHAFT,,,,,,,,TAYLOR MADE SALES AGENCY AGENT CII,,,,OUT,,,,0,USD,,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,16,16,,,,,2022-02-08,1,DKB,F,,Y,,,KY,COMPLEXITY,COMPLEXITY,NO NAME NEEDED,NO NAME NEEDED,MEDAGLIA D'ORO,MEDAGLIA D'ORO,,,,,,,,HUNTER VALLEY FARM AGENT,,,,QUARTER POLE ENTERPRISES LLC,,,,140000,USD,https://vimeo.com/842325232?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,17,17,,,,,2022-02-07,1,B,F,,Y,,,KY,TIZ THE LAW,TIZ THE LAW,NUHOOD,NUHOOD,SMART STRIKE,SMART STRIKE,,,,,,,,HUNTER VALLEY FARM AGENT,,,,LUGAMO RACING STABLE,,,,80000,USD,https://vimeo.com/843067213?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,18,18,,,,,2022-02-04,1,CH,F,,Y,,,KY,GLOBAL CAMPAIGN,GLOBAL CAMPAIGN,ONE HOT ROMANCE,ONE HOT ROMANCE,ROCK HARD TEN,ROCK HARD TEN,,,,,,,,BRANDYWINE FARM (JIM & PAM ROBINSON),,,,CORBIN BLUMBERGAGENT,,,,42000,USD,https://vimeo.com/838104711?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,19,19,,,,,2022-02-28,1,B,C,,Y,,,CA,BODEXPRESS,BODEXPRESS,ONEMORESWEETKISS,ONEMORESWEETKISS,BEDFORD FALLS,BEDFORD FALLS,,,,,,,,HUNTER VALLEY FARM AGENT,,,,NOT SOLD,,,,37000,USD,https://vimeo.com/843602257?share=copy,,,TB,2022
