SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATE SALE,BREED,YEARFOAL
2023,Y,23FTOCTYR,2023-10-23,1,1,1,1,,,2022-04-23,1,DKB,F,,Y,,,KY,JIMMY CREED,JIMMY CREED,YADDO CANARY,YADDO CANARY,MINESHAFT,MINESHAFT,,,,,,,MAINE CHANCE FARM (UNIVERSITY OF KENTUCKY),,,,J ASENCION MONTEAGUDO,,,,5000,,https://youtu.be/QGKhAucrTtg,,,T,2022
2023,Y,23FTOCTYR,2023-10-23,1,1,2,2,,,2022-04-19,1,DKB,C,,Y,,,KY,IMPROBABLE,IMPROBABLE,YAHILWA,YAHILWA,MEDAGLIA D'ORO,MEDAGLIA D'ORO,,,,,,,GROVENDALE SALES AGENT II,,,,NOT SOLD,,,,60000,,https://vimeo.com/876132447?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-23,1,1,3,3,,,2022-04-09,1,DKB,C,,Y,,,ON,INSTILLED REGARD,INSTILLED REGARD,YOU DON'T KNOW ME (IRE),YOU DON'T KNOW ME (IRE),ZOFFANY (IRE),ZOFFANY (IRE),,,,,,,SUSAN Y. FOREMAN AGENT,,,,NOT SOLD,,,,22000,,https://youtu.be/Pb9Or4j6N2E?si=ySfKaqX5ABNkgH-x,,,T,2022
2023,Y,23FTOCTYR,2023-10-23,1,1,4,4,,,2022-04-22,1,DKB,F,,Y,,,ON,BEE JERSEY,BEE JERSEY,YOU MAKE LUVIN FUN,YOU MAKE LUVIN FUN,A.P. INDY,A.P. INDY,,,,,,,HUNTER VALLEY FARM AGENT,,,,OFF THE HOOK,,,,11000,,https://vimeo.com/876204843?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-23,1,1,5,5,,,2022-05-17,1,DKB,C,,Y,,,KY,WORLD OF TROUBLE,WORLD OF TROUBLE,YOUNGNFLASHY,YOUNGNFLASHY,FLASHY BULL,FLASHY BULL,,,,,,,FOUR STAR SALES AGENT,,,,JON JAZDZEWSKI,,,,8000,,https://vimeo.com/875833708,,,T,2022
2023,Y,23FTOCTYR,2023-10-23,1,1,6,6,,,2022-05-05,1,DKB,F,,Y,,,NY,CAIRO PRINCE,CAIRO PRINCE,YOUR TIME IS UP,YOUR TIME IS UP,FREUD,FREUD,,,,,,,HIBISCUS SALES,,,,OUT,,,,0,,https://vimeo.com/874246986,,,T,2022
2023,Y,23FTOCTYR,2023-10-23,1,1,7,7,,,2022-05-13,1,CH,F,,Y,,,KY,VINO ROSSO,VINO ROSSO,ZEENUT,ZEENUT,MINGUN,MINGUN,,,,,,,MIKELLE FARM AGENT,,,,ECLIPSE THOROUGHBRED PARTNERS & ST ELIAS STABLES,,,,90000,,https://vimeo.com/876777418?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-23,1,1,8,8,,,2022-02-12,1,GRR,F,,Y,,,KY,THE FACTOR,THE FACTOR,ZENSATIONAL BEAUTY,ZENSATIONAL BEAUTY,ZENSATIONAL,ZENSATIONAL,,,,,,,VINERY SALES AGENT XVIII,,,,KAT KIRK & WAYNE SANDERS,,,,30000,,https://vimeo.com/874386907?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-23,1,1,9,9,,,2022-01-16,1,DKB,C,,Y,,,KY,MASTERY,MASTERY,ZESTINA,ZESTINA,SILENT NAME (JPN),SILENT NAME (JPN),,,,,,,FRANKFORT PARK FARM AGENT,,,,PAUL CAIRNS RACING,,,,20000,,https://vimeo.com/875418208?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-23,1,1,10,10,,,2022-04-23,1,DKB,F,,Y,,,KY,STREET SENSE,STREET SENSE,ZETTA Z,ZETTA Z,BERNARDINI,BERNARDINI,,,,,,,DENALI STUD AGENT XXVIII,,,,HARTLEY/DE RENZO THOROUGHBREDS,,,,170000,,https://vimeo.com/876581017?share=copy,,,T,2022
