SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CONSLNAME,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2023,Y,23SARAUG,8/7/2023,1,1,1,1,,,,,3/27/2022,1,DKB,F,,Y,,,KY,GUN RUNNER,GUN RUNNER,BABY GO FAR (BRZ),BABY GO FAR (BRZ),ELUSIVE QUALITY,TAYLOR MADE SALES AGENCY AGENT LVI,,,,,,,,,,,,FERGUS GALVIN AGENT,,,,375000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,2,2,,,,,3/31/2022,1,B,F,,Y,,,KY,MACLEAN'S MUSIC,MACLEAN'S MUSIC,BABY RAGS,BABY RAGS,UNION RAGS,WARRENDALE SALES AGENT IV,,,,,,,,,,,,MARTHA GLADWELL AGT FOR REEVES TB RACING STEVEN ROCCO,,,,250000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,3,3,,,,,2/17/2022,1,B,F,,Y,,,KY,STREET BOSS,STREET BOSS,BETWIXT,BETWIXT,EMPIRE MAKER,BLUEGRASS THOROUGHBRED SERVICES INC. AGENT FOR ASHVIEW FARM,,,,,,,,,,,,DEUCE GREATHOUSE AGENT PURA VIDA 24,,,,135000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,4,4,,,,,4/7/2022,1,DKB,F,,Y,,,KY,SPEIGHTSTOWN,SPEIGHTSTOWN,BICOLOUR,BICOLOUR,TIZNOW,FOUR STAR SALES AGENT,,,,,,,,,,,,LEGION BLOODSTOCK AGENT FOR HOOLIE RACING,,,,400000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,5,5,,,,,5/9/2022,1,CH,C,,Y,,,KY,JUSTIFY,JUSTIFY,BIG MEESH (IRE),BIG MEESH (IRE),HIGH CHAPARRAL (IRE),BALLYSAX BLOODSTOCK AGENT FOR GRANTLEY ACRES,,,,,,,,,,,,NOT SOLD,,,,340000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,6,6,,,,,2/10/2022,1,B,C,,Y,,,KY,JUSTIFY,JUSTIFY,BLOSSOMED,BLOSSOMED,DEPUTY MINISTER,STONE FARM AGENT,,,,,,,,,,,,NOT SOLD,,,,520000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,7,7,,,,,2/12/2022,1,CH,F,,Y,,,ON,SPEIGHTSTOWN,SPEIGHTSTOWN,BLUE CURL,BLUE CURL,CURLIN,ANDERSON FARMS,,,,,,,,,,,,HILLEN REEVES TB RACING MY RACEHORSE.COM,,,,375000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,8,8,,,,,5/9/2022,1,B,F,,Y,,,KY,AUTHENTIC,AUTHENTIC,BLUE GALLINA,BLUE GALLINA,STREET SENSE,WYNNSTAY SALES AGENT III,,,,,,,,,,,,CORBIN BLUMBERG AGENT FOR STARLIGHT RACING,,,,310000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,9,9,,,,,3/7/2022,1,B,C,,Y,,,KY,AUTHENTIC,AUTHENTIC,BRANDY,BRANDY,UNBRIDLED'S SONG,MACHMER HALL SALES AGENT FOR MACHMER HALL I,,,,,,,,,,,,MY RACEHORSE,,,,400000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,10,10,,,,,2/24/2022,1,CH,C,,Y,,,KY,AUDIBLE,AUDIBLE,BUBALA,BUBALA,CANDY RIDE (ARG),TAYLOR MADE SALES AGENCY AGENT XXXVII,,,,,,,,,,,,NOT SOLD,,,,200000,,,,,T,2022
