SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DOB,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,Price,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2021,M,21KEENOV,11/10/2021,1,1,1,1,,,,,3/30/2021,2,B,Colt,,WN,,,,War Front,War Front,Rare Day (IRE),Rare Day (IRE),,,,,,,,,,"Eaton Sales, Agent ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,2,2,Raymundos Secret,Raymundos Secret,,,2/4/2016,7,B,Mare,,BRP,,,,Treasure Beach (GB),Treasure Beach (GB),Paulette Caveat,Paulette Caveat,,,,,,,,,,"Taylor Made Sales Agency, Agent CLIII ",,,,"Nicoma, Agent / Milburn Creek Stud",,,,310000,,,,,T,2016
2021,M,21KEENOV,11/10/2021,1,1,3,3,Red Hot Babe,Red Hot Babe,,,4/3/2017,6,CH,Mare,,B,,,,Distorted Humor,Distorted Humor,Room Service,Room Service,,,,,,,,Game Winner,2/17/2021,"Paramount Sales, Agent for Gary & Mary West Stables, Inc. (Annual Reduction)",,,,Out,,,,0,,,,,T,2017
2021,M,21KEENOV,11/10/2021,1,1,4,4,Reina de Mollendo (ARG),Reina de Mollendo (ARG),,,9/3/2017,5,GR/RO,Filly,,BRP,,,,Mastercraftsman (IRE),Mastercraftsman (IRE),Royal Top (ARG),Royal Top (ARG),,,,,,,,,,"Four Star Sales, Agent ",,,,"R.N.A. (190,000)",,,,,,,,,T,2017
2021,M,21KEENOV,11/10/2021,1,1,5,5,Risky Ride,Risky Ride,,,2/1/2016,7,B,Mare,,B,,,,Candy Ride (ARG),Candy Ride (ARG),Run a Risk,Run a Risk,,,,,,,,Medaglia d'Oro,5/4/2021,"Taylor Made Sales Agency, Agent XXVI ",,,,Natalma,,,,150000,,,,,T,2016
2021,M,21KEENOV,11/10/2021,1,1,6,6,By the Sword,By the Sword,,,3/17/2021,2,CH   ,Colt,,WN,,,,Curlin,Curlin,Rock Jasmine,Rock Jasmine,,,,,,,,,,"Hill 'n' Dale Sales Agency, Agent ",,,,Finn Bloodstock,,,,280000,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,7,7,Lady Madonna,Lady Madonna,,,2/4/2021,2,B,Filly,,WN,,,,War Front,War Front,Rosalind,Rosalind,,,,,,,,,,"Bedouin Bloodstock, Agent ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,8,8,Underinvested,Underinvested,,,1/23/2021,2,CH,Colt,,WN,,,,Justify,Justify,Rosy Humor,Rosy Humor,,,,,,,,,,"Warrendale Sales, Agent III ",,,,Sand Hill Bloodstock,,,,350000,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,9,9,Runnin Ruby,Runnin Ruby,,,4/18/2016,7,GR/RO,Mare,,B,,,,Tapit,Tapit,Champagne Royale,Champagne Royale,,,,,,,,War Front,2/17/2021,"Hill 'n' Dale Sales Agency, Agent ",,,,Out,,,,0,,,,,T,2016
2021,M,21KEENOV,11/10/2021,1,1,10,10,Rushin No Blushin,Rushin No Blushin,,,3/2/2009,14,CH,Mare,,B,,,,Half Ours,Half Ours,Blushing Ogygian,Blushing Ogygian,,,,,,,,Complexity,2/18/2021,"Paramount Sales, Agent LV ",,,,Out,,,,0,,,,,T,2009
2021,M,21KEENOV,11/10/2021,1,1,11,11,Salute the Flag,Salute the Flag,,,2/2/2018,5,CH,Filly,,BRP,,,,Curlin,Curlin,Private Ensign,Private Ensign,,,,,,,,,,"Taylor Made Sales Agency, Agent for Fox Hill Farms, Inc. ",,,,Out,,,,0,,,,,T,2018
2021,M,21KEENOV,11/10/2021,1,1,12,12,Sassy Sienna,Sassy Sienna,,,4/18/2015,8,DB/BR,Mare,,B,,,,Midshipman,Midshipman,Tap for Gold,Tap for Gold,,,,,,,,Improbable,5/3/2021,"Eaton Sales, Agent ",,,,Thirty Year Farm,,,,550000,,,,,T,2015
2021,M,21KEENOV,11/10/2021,1,1,13,13,Satin And Silk (IRE),Satin And Silk (IRE),,,5/9/2017,6,B,Mare,,B,,,,Galileo (IRE),Galileo (IRE),Wildwood Flower,Wildwood Flower,,,,,,,,Justify,3/29/2021,"Eaton Sales, Agent ",,,,"Claiborne Farm, Agent",,,,1400000,,,,,T,2017
