Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0001,"Denali Stud, Agent XXXIX ","","Zia's Song","02/28/2018","CH",Mare,"Zia's Song","Kitten's Joy","Awesome Flower","Gun Runner","05/07/2022","pregnant","Broodmare","R.N.A. (525,000)",---
1,0001F,"Lane's End, Agent ","","Flightline","03/14/2018","B",Colt,"Flightline","Tapit","Feathered","","","","S","Brookdale Farm, Agent",4600000
1,0002,"Taylor Made Sales Agency, Agent CIII ","","Accepting","02/09/2014","CH",Mare,"Accepting","Speightstown","Arania","War Front","05/25/2022","pregnant","Broodmare","Out",0
1,0003,"Bluewater Sales LLC, Agent XXIV ","","Acting Class","01/27/2009","B",Mare,"Acting Class","Distorted Humor","Classicism","Medaglia d'Oro","06/03/2022","pregnant","Broodmare","Out",0
1,0004,"Taylor Made Sales Agency, Agent XLI ","","Afleet Katherine","03/14/2017","B",Mare,"Afleet Katherine","Afleet Alex","Include Katherine","","","","Racing or Broodmare Prospect","Out",0
1,0005,"Taylor Made Sales Agency, Agent V ","","Especially","04/03/2022","B",Filly,"Especially","Flatter","Amen Sista","","","","Weanling","North Face Bloodstock",170000
1,0006,"ELiTE, Agent ","","American Bridge (GB)","04/18/2017","B",Mare,"American Bridge (GB)","Kodiac (GB)","More Than Sotka (FR)","","","","Racing or Broodmare Prospect","Out",0
1,0007,"Hill 'n' Dale at Xalapa, Agent ","","The Toltec","04/12/2022","B    ",Filly,"The Toltec","Maclean's Music","American Cleopatra","","","","Weanling","Sonny Stokes",180000
1,0008,"Paramount Sales, Agent XXX ","","American Heiress (GB)","02/12/2018","B",Mare,"American Heiress (GB)","American Pharoah","Keertana","Uncle Mo","03/15/2022","pregnant","Broodmare","Dixiana Farms",400000
1,0009,"Valkyre Stud, Agent VI ","","Hollywood Beauty","03/16/2022","B    ",Filly,"Hollywood Beauty","Honor A. P.","America's Friend","","","","Weanling","George Krikorian",30000
1,0010,"ELiTE, Agent ","","America's Tale","04/04/2015","B",Mare,"America's Tale","Gio Ponti","America's Friend","Medaglia d'Oro","04/04/2022","pregnant","Broodmare","Dixiana Farms",435000
1,0011,"Lane's End, Agent ","","Amiche","02/03/2018","B",Mare,"Amiche","Malibu Moon","Lady Melesi","Quality Road","05/05/2022","pregnant","Broodmare","Determined Stud & Gage Hill",500000
1,0012,"Gainesway, Agent for the Estate of Helen K. Groves","","And Why Not","05/02/2009","B",Mare,"And Why Not","Street Cry (IRE)","Alchemist","Blame","03/03/2022","pregnant","Broodmare","Gainesway Farm",800000
1,0013,"Four Star Sales, Agent ","","Ashley's Babe","04/12/2010","DB/BR",Mare,"Ashley's Babe","Put It Back","Charms Way","Maximus Mischief","03/09/2022","pregnant","Broodmare","R.N.A. (170,000)",---
1,0014,"Nicky Drion Thoroughbreds, Agent XIII ","","Avenue de France (FR)","02/16/2017","DB/BR",Mare,"Avenue de France (FR)","Cityscape (GB)","Sharja Princess (GB)","","","","Racing or Broodmare Prospect","Out",0
1,0015,"Taylor Made Sales Agency, Agent XCVIII ","","Baffling","05/24/2015","CH",Mare,"Baffling","Graydar","Baffled","Gun Runner","03/29/2022","pregnant","Broodmare","R.N.A. (360,000)",---
1,0016,"Taylor Made Sales Agency, Agent CIII ","","Battle Flag","03/13/2014","GR/RO",Mare,"Battle Flag","War Front","Photograph","Liam's Map","03/05/2022","pregnant","Broodmare","R.N.A. (140,000)",---
1,0017,"Taylor Made Sales Agency, Agent XL ","","Beau Recall (IRE)","03/14/2014","B",Mare,"Beau Recall (IRE)","Sir Prancealot (IRE)","Greta d'Argent (IRE)","Instagrand","04/08/2022","pregnant","Broodmare","R.N.A. (285,000)",---
