Book,Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price,Elig,Sire Of Dam
1,1,1,"Bluegrass Thoroughbred Services Inc., Agent II ",,Supermajority,,CH,Colt,Supermajority,Justify,I Bet Toni Knows,,,,,Downton Walk Bloodstock,200000,,
1,1,2,"Blandford Stud (Padraig Campion), Agent ",,Juniper's Moon,,CH,Filly,Juniper's Moon,Galileo (IRE),I'm a Chatterbox,,,,,Jr. International Holdings LLC,725000,,
1,1,3,Dixiana Farms LLC ,,Union Express,,B    ,Colt,Union Express,Accelerate,I'm a Flake,,,,,Mayberry Farm,300000,,
1,1,4,"Beau Lane Bloodstock, Agent II ",,Guns n' Graces,,DB/BR,Filly,Guns n' Graces,Gun Runner,Imposing Grace,,,,,"Mike Ryan, Agent",375000,,
1,1,5,Hinkle Farms ,,Gunner Bay,,B,Colt,Gunner Bay,Gun Runner,Indian Bay,,,,,"West Bloodstock, Agent for Robert & Lawana Low",250000,,
1,1,6,"Paramount Sales, Agent XXXI ",,Indian Mischief,,DB/BR,Colt,Indian Mischief,Into Mischief,Indian Rush,,,,,"R.N.A. (340,000)",---,,
1,1,7,"Glennwood Farm Inc., Agent ",,Mo Captain,,DB/BR,Colt,Mo Captain,Uncle Mo,Inside Passage,,,,,"R.N.A. (145,000)",---,,
1,1,8,"Bridie Harrison, Agent for Peter E. Blum Thoroughbreds ",,Carmel Road,,B,Colt,Carmel Road,Quality Road,Inspired,,,,,"Donato Lanni, Agt. for SF Bldstk/Starlight/Madaket",650000,,
1,1,9,"Betz Thoroughbreds, Inc., Agent ",,Naval Empire,,DB/BR,Filly,Naval Empire,Empire Maker,In the Navy Now,,,,,Out,0,,
1,1,10,"Taylor Made Sales Agency, Agent CXLVI ",,Falk,,DB/BR,Colt,Falk,Constitution,Invitation,,,,,Out,0,,
1,1,11,"Betz Thoroughbreds, Inc., Agent ",,Pink Hue,,CH   ,Filly,Pink Hue,Mendelssohn,Involved,,,,,"Mike Ryan, Agent",310000,,
1,1,12,"Bluewater Sales LLC, Agent VII ",,Sabg,,B,Colt,Sabg,Into Mischief,Iotapa,,,,,"R.N.A. (210,000)",---,,
1,1,13,"Lane's End, Agent ",,Life At Sea,,B,Colt,Life At Sea,West Coast,Irish Jasper,,,,,Out,0,,
1,1,14,"Four Star Sales, Agent for Westbury Stables ",,Mohawk Trail,,DB/BR,Filly,Mohawk Trail,Pioneerof the Nile,Iroquois Girl,,,,,John Ballantyne/NBS Stable,180000,,
1,1,15,"Denali Stud, Agent X ",,Tiz Wartime,,DB/BR,Colt,Tiz Wartime,War Front,It Tiz Well,,,,,Columbine Stables,500000,,
1,1,16,"Mill Ridge Sales, Agent ",,Condone,,CH,Filly,Condone,Justify,Jacaranda,,,,,"G. Watts Humphrey, Jr.",300000,,
1,1,17,"Valkyre Stud, Agent II ",,King's Glory,,CH,Colt,King's Glory,Speightstown,Jax El,,,,,Courtlandt Farm,575000,,
1,1,18,"St George Sales, Agent XIII ",,Manciata d'Oro,,B,Colt,Manciata d'Oro,Medaglia d'Oro,Jemima's Pearl,,,,,BSW/Crow Colts Group,400000,,
1,1,19,"Clarkland Farm, LLC ",,Just Cindy,,B,Filly,Just Cindy,Justify,Jenda's Agenda,,,,,"R.N.A. (140,000)",---,,
1,1,20,"Mill Ridge Sales, Agent ",,My Dukedom,,B,Colt,My Dukedom,West Coast,Joannie,,,,,"R.N.A. (385,000)",---,,
1,1,21,"Mulholland Springs, Agent for Spendthrift Farm LLC ",,Make Decisions,,B,Colt,Make Decisions,Into Mischief,Joint Return,,,,,"West Bldstk, Agt. for Repole Stable & St. Elias",650000,,
1,1,22,"Eaton Sales, Agent for WinStar Farm Bred & Raised ",,Legendary,,CH,Filly,Legendary,Justify,Jojo Warrior,,,,,"R.N.A. (310,000)",---,,
1,1,23,"Taylor Made Sales Agency, Agent CV ",,Leoparda,,B,Filly,Leoparda,War Front,Joyfully,,,,,"R.N.A. (585,000)",---,,
1,1,24,"Hunter Valley Farm, Agent ",,Talkin Pharoah,,CH,Colt,Talkin Pharoah,American Pharoah,Just Talkin,,,,,Wesley Ward,260000,,
1,1,25,"Clearsky Farms, Agent II ",,Admiral Bouchard,,DB/BR,Colt,Admiral Bouchard,Quality Road,Justwhistledixie,,,,,"R.N.A. (1,900,000)",---,,
1,1,26,"Warrendale Sales, Agent IX ",,Anacaro,,DB/BR,Filly,Anacaro,Arrogate,Katori,,,,,"R.N.A. (230,000)",---,,
1,1,27,"Eaton Sales, Agent for Stonestreet Bred & Raised ",,Pure Pauline,,CH,Filly,Pure Pauline,Curlin,Keen Pauline,,,,,"R.N.A. (335,000)",---,,
1,1,28,"Bedouin Bloodstock, Agent II ",,Medaglia d'Oro --- Kelly's Humor,,B,Colt,,Medaglia d'Oro,Kelly's Humor,,,,,Sea Stables,220000,,
1,1,29,"Lane's End, Agent ",,Sloane Ranger,,B,Colt,Sloane Ranger,War Front,Key To My Heart (IRE),,,,,M.V. Magnier,400000,,
1,1,30,"Eaton Sales, Agent ",,Chelsea Pier,,GR/RO,Filly,Chelsea Pier,Arrogate,Kind of Magic (IRE),,,,,Lehigh Bloodstock,80000,,
1,1,31,"Paramount Sales, Agent CIII ",,La Belle Caprice,,B,Filly,La Belle Caprice,Into Mischief,La Belle Marquet,,,,,Out,0,,
1,1,32,"Gainesway, Agent X ",,Red Dog,,B,Colt,Red Dog,Fastnet Rock (AUS),Lady Bingo (IRE),,,,,Out,0,,
1,1,33,"Hill 'n' Dale Sales Agency, Agent ",,Serena's Legacy,,B,Filly,Serena's Legacy,Curlin,Lady Serena,,,,,Out,0,,
1,1,34,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I ",,Take Control,,B,Colt,Take Control,Quality Road,Lady Take Charge,,,,,Out,0,,
1,1,35,"Gainesway, Agent III ",,Quality Road --- La Madrina,,B,Colt,,Quality Road,La Madrina,,,,,"West Bldstk, Agt. for Repole Stable & St. Elias",200000,,
1,1,36,"Woodford Thoroughbreds, Agent I ",,Curl Girl,,B,Filly,Curl Girl,Curlin,Laskarina,,,,,Joey Platts,250000,,
1,1,37,"Paramount Sales, Agent XX ",,Monet Never (IRE),,DB/BR,Colt,Monet Never (IRE),No Nay Never,Last Jewel (IRE),,,,,"Preferred Equine, Agent",160000,,
1,1,38,"Hunter Valley Farm, Agent ",,Feral Wonder (IRE),,B,Colt,Feral Wonder (IRE),Speightstown,Last Kitten,,,,,Colts Neck Stables,400000,,
1,1,39,"Denali Stud, Agent for Lady Sheila Stable LLC ",,Prince of Truth,,B,Colt,Prince of Truth,Into Mischief,La Verdad,,,,,"R.N.A. (675,000)",---,,
1,1,40,"Havens Bloodstock Agency, Inc., Agent ",,Modernistic,,B,Colt,Modernistic,Empire Maker,Legendary Peace,,,,,CaSal Stable,150000,,
1,1,41,"Stone Farm, Agent ",,Big Wicks,,B,Colt,Big Wicks,Medaglia d'Oro,Leigh Court,,,,,"West Point Thoroughbreds, L.E.B., Agent",575000,,
1,1,42,"Gainesway, Agent XV ",,Liguria,,B,Filly,Liguria,War Front,Lerici,,,,,"Steven W. Young, Agent",275000,,
1,1,43,"Betz Thoroughbreds, Inc., Agent ",,Doing Justice,,B    ,Filly,Doing Justice,American Pharoah,Letgomyecho,,,,,"Northshore Bloodstock, Agent",1400000,,
1,1,44,"Stone Farm, Agent ",,Cushee,,B,Filly,Cushee,Curlin,Life Well Lived,,,,,"Lael Stable, Michael Hernon, Agent",775000,,
1,1,45,"Taylor Made Sales Agency, Agent XLVIII ",,Centrist Road,,B,Colt,Centrist Road,Quality Road,Liquorice Marilyn,,,,,"West Bldstk, Agt. for Repole Stable & St. Elias",350000,,
1,1,46,"Four Star Sales, Agent ",,Nakoa,,B,Filly,Nakoa,War Front,Liscanna (IRE),,,,,"Mick Price Racing, Australia",275000,,
1,1,47,"Gainesway, Agent XLVI ",,First Defender,,B,Colt,First Defender,Quality Road,Love and Pride,,,,,Out,0,,
1,1,48,"Burleson Farms, Agent ",,Tuskegee Airmen,,B,Colt,Tuskegee Airmen,Street Sense,Lucky Cover,,,,,Out,0,,
